Id,Label
0,2e9uu9
1,788080
2,108331
3,325572
4,327913
5,546847
6,237143
7,72866u
8,267168
9,680150
10,196364
11,783128
12,793423
13,703747
14,656510
15,884505
16,7606a9
17,282031
18,583473
19,175270
20,222536
21,705981
22,109811
23,704453
24,398581
25,84667u
26,138570
27,849499
28,517661
29,2269u3
30,257819
31,375827
32,86180a
33,2e0536
34,855966
35,4ea144
36,440915
37,916689
38,539706
39,476676
40,150000
41,293378
42,5217e1
43,0a9648
44,140292
45,38745a
46,836629
47,348379
48,956687
49,267056
50,997338
51,771471
52,u9ea91
53,291985
54,e8179u
55,051224
56,596831
57,052349
58,255463
59,444385
60,441752
61,544433
62,824017
63,910061
64,554734
65,783908
66,837002
67,9314a2
68,666a40
69,90u23a
70,867975
71,326192
72,223841
73,5u8295
74,16e896
75,224347
76,170129
77,572305
78,496810
79,671005
80,015333
81,11a329
82,143182
83,030710
84,377201
85,801117
86,686296
87,352905
88,245824
89,6u8089
90,497a61
91,725623
92,140562
93,720030
94,344536
95,287429
96,95u604
97,4ua387
98,301a44
99,3e4736
100,a86662
101,726437
102,019151
103,743191
104,8a745e
105,240539
106,19e992
107,843516
108,870e66
109,993330
110,14136a
111,965326
112,775234
113,091244
114,369423
115,884728
116,152758
117,424e39
118,004121
119,878678
120,485804
121,488832
122,a16725
123,a21e57
124,639829
125,123905
126,113067
127,40u979
128,352275
129,129938
130,067866
131,449074
132,7624u5
133,915089
134,076611
135,597322
136,505705
137,510753
138,892362
139,u05336
140,645993
141,166930
142,582736
143,7e1a44
144,uu9480
145,8845u8
146,9e4868
147,125934
148,597e63
149,515320
150,a87051
151,5u9986
152,531969
153,114e56
154,e04881
155,135869
156,442836
157,645846
158,30183a
159,61u494
160,730844
161,566354
162,698921
163,664e38
164,5998a2
165,88297e
166,970157
167,842755
168,315428
169,6a0066
170,292391
171,123079
172,523388
173,021740
174,211713
175,653362
176,738184
177,948878
178,860388
179,u51532
180,47u557
181,02u915
182,629137
183,605u21
184,429249
185,536e03
186,728826
187,894800
188,61e6a3
189,239235
190,417608
191,498726
192,107470
193,151601
194,768298
195,243211
196,509723
197,881492
198,834457
199,470818
200,936355
201,42611e
202,130122
203,464215
204,164048
205,8143a6
206,467u89
207,747690
208,154u35
209,4695a2
210,988443
211,847441
212,287533
213,244849
214,934474
215,31ae60
216,468489
217,e47123
218,771283
219,946954
220,121576
221,1a6398
222,e97499
223,191413
224,e42u74
225,117e51
226,490783
227,663060
228,608036
229,285310
230,6239u9
231,954015
232,703657
233,544932
234,666233
235,030610
236,52e247
237,621471
238,ue5075
239,714180
240,6a7286
241,61357a
242,e179a1
243,189234
244,682474
245,299793
246,534012
247,305586
248,1a7265
249,850332
250,336132
251,473131
252,618518
253,089919
254,974654
255,32u996
256,3971u0
257,621147
258,9e4383
259,324333
260,45246e
261,462135
262,2e779e
263,139291
264,970546
265,232e62
266,606633
267,2593u1
268,23128a
269,024322
270,397267
271,188492
272,426932
273,aua087
274,976328
275,194917
276,4930a3
277,791613
278,458693
279,968122
280,076407
281,899287
282,u0306a
283,457004
284,265911
285,9e3511
286,343311
287,874325
288,532946
289,255185
290,545483
291,866441
292,147635
293,120365
294,62601u
295,128971
296,140353
297,91a087
298,362951
299,56a809
300,0208e2
301,805466
302,851917
303,254986
304,242235
305,102527
306,721190
307,582740
308,795945
309,72e894
310,u76963
311,138741
312,576939
313,863302
314,3u8390
315,8e6228
316,142887
317,637348
318,636192
319,72170u
320,455713
321,51e99e
322,998741
323,567376
324,958780
325,678430
326,341081
327,6169e5
