Id,Label
0,680304
1,672599
2,905126
3,613697
4,847258
5,u26111
6,706889
7,362326
8,5a8746
9,371113
10,618052
11,965973
12,77975e
13,49119a
14,912882
15,546357
16,298981
17,464633
18,659354
19,24u051
20,029848
21,04a253
22,30810a
23,998296
24,85e886
25,2u3298
26,748036
27,88712u
28,837097
29,684825
30,e37834
31,379618
32,797971
33,2710u1
34,297a62
35,083793
36,681384
37,630254
38,270936
39,393512
40,4a7783
41,502650
42,660065
43,140916
44,176072
45,077194
46,826107
47,989684
48,6297e6
49,890520
50,595179
51,516515
52,e95706
53,701297
54,519852
55,599580
56,8944u9
57,324119
58,741389
59,121203
60,7e5598
61,626494
62,495058
63,375005
64,296138
65,2408e1
66,1e5260
67,787e24
68,274025
69,056202
70,639411
71,u86au2
72,73u716
73,557905
74,240700
75,22e528
76,966023
77,577068
78,957495
79,231727
80,024504
81,949231
82,969741
83,785988
84,855718
85,624e37
86,357360
87,523u86
88,38a234
89,514416
90,890532
91,6ua654
92,765756
93,827179
94,035142
95,591921
96,072673
97,033396
98,9580e1
99,652031
100,105265
101,417781
102,381282
103,401329
104,120783
105,4352a7
106,496951
107,31u0e5
108,378053
109,264971
110,a73420
111,e77970
112,991566
113,526077
114,766590
115,920619
116,721964
117,9382a3
118,476067
119,587565
120,036780
121,466233
122,054829
123,e00232
124,095362
125,227407
126,412846
127,301985
128,871042
129,648611
130,904327
131,a58987
132,64264u
133,649301
134,793990
135,a0e479
136,548928
137,749628
138,u28156
139,418004
140,97003u
141,017416
142,e2u618
143,331744
144,56a717
145,91a248
146,65340a
147,730812
148,889e51
149,316993
150,481880
151,618191
152,493126
153,641516
154,003693
155,676785
156,671799
157,274854
158,80581a
159,896670
160,3e3479
161,1503a4
162,585683
163,621865
164,928364
165,184712
166,a8e967
167,985272
168,933939
169,880379
170,743942
171,742e70
172,809767
173,026650
174,638841
175,935212
176,603e94
177,u65340
178,578455
179,u58463
180,662178
181,e32e32
182,570331
183,827020
184,021613
185,983640
186,811646
187,281699
188,519765
189,5e8237
190,923u54
191,328577
192,u63532
193,347442
194,819246
195,25e052
196,543354
197,078627
198,46157a
199,519646
200,44a259
201,009358
202,232724
203,598e28
204,053943
205,198363
206,431870
207,955329
208,867819
209,550698
210,463110
211,17864e
212,306104
213,545041
214,790152
215,196275
216,313055
217,400028
218,99u047
219,653996
220,866651
221,7036e0
222,9a49u5
223,708715
224,8u507e
225,025282
226,071753
227,07u643
228,e96860
